Bairro,Endereco,Quartos,Tipo_Imovel,Preco,Metodo_Venda,Corretor,Data_Venda,Distancia_CBD,CEP,Banheiros,Vagas_Garagem,Area_Terreno,Area_Construida,Ano_Construcao,Area_Administrativa,Latitude,Longitude,Regiao,Contagem_Imoveis,Tipo_Imovel_Numerico,Ano_Venda,Mes_Venda,Area_Construida_Imputada,Area_Terreno_Imputada,Preco_por_m2,Quartos_por_m2,Idade_Imovel,Regiao_Numerica,Preco_Imputado,Preco_Esperado,Media_Regional_Preco_m2,Desvio_Padrao_Regional_Preco_m2,Limite_Inferior_Preco,Limite_Superior_Preco,Subvalorizado,Supervalorizado,Proporcao_Quartos_Banheiros,Categoria_Idade,Categoria_Distancia
Sunshine,8 Lorenz St,3,h,1145000.0,SP,Sweeney,2017-11-18,10.5,3020.0,2.0,2.0,534.0,145.29,1977.0,Brimbank City Council,-37.780845,144.8733,Western Metropolitan,3755.0,0,2017,11,False,False,7880.790143850231,0.0206483584555027,48.0,6,False,778086.0165853634,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.492537313432836,20-50 anos,Médio
Brunswick East,506/29 Nicholson St,2,u,630000.0,S,Nicholson,2017-10-07,4.0,3057.0,1.0,1.0,0.0,62.68,1970.0,Moreland City Council,-37.7414,144.9838,Northern Metropolitan,5533.0,1,2017,10,False,False,10051.052967453734,0.0319081046585832,55.0,2,False,556723.7159479769,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.98019801980198,50-100 anos,CBD
Essendon West,14 Clydebank Rd,3,h,810000.0,PI,Nelson,2016-12-03,9.8,3040.0,1.0,2.0,613.0,152.03714285714287,1977.0,Moonee Valley City Council,-37.7552,144.8882,Western Metropolitan,588.0,0,2016,12,False,False,5327.645500159735,0.0197320203709619,48.0,6,False,931451.7481199852,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,2.9702970297029703,20-50 anos,Próximo
Reservoir,2/12 Bedford St,3,u,680000.0,SP,Nelson,2017-11-18,12.0,3073.0,2.0,1.0,183.5,107.74,1970.0,Darebin City Council,-37.7414,144.9838,Northern Metropolitan,21650.0,1,2017,11,False,False,6311.490625580101,0.0278448115834416,55.0,2,False,656212.6984629958,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,Médio
Glen Iris,2 Renwick St,3,h,1390000.0,S,J,2017-12-09,7.3,3146.0,2.0,1.0,520.0,189.5666666666667,1960.0,Boroondara City Council,-37.85256,145.07571,Southern Metropolitan,10412.0,0,2017,12,False,False,7332.512748373482,0.0158255670828204,65.0,5,False,1643500.0832749074,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.492537313432836,50-100 anos,Próximo
Doncaster East,27 Gaudion Rd,6,h,1655000.0,S,Barry,2017-07-29,14.3,3109.0,3.0,2.0,692.0,260.4733333333333,1970.0,Manningham City Council,-37.7746,145.15141,Eastern Metropolitan,10999.0,0,2017,7,False,False,6353.81740933173,0.0230349875867011,55.0,0,False,1572286.4037410428,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.993355481727575,50-100 anos,Médio
Bentleigh,152 Patterson Rd,3,h,1510000.0,S,Jellis,2017-10-14,11.4,3204.0,1.0,2.0,680.0,141.12209956709955,1960.0,Glen Eira City Council,-37.92626,145.03961,Southern Metropolitan,6795.0,0,2017,10,False,False,10699.954185999322,0.0212581871245019,65.0,5,False,1309178.609382387,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,2.9702970297029703,50-100 anos,Médio
Richmond,11 Judd St,2,h,1250000.0,SP,Biggin,2017-10-28,2.4,3121.0,2.0,2.0,200.0,124.0,2010.0,Yarra City Council,-37.81673,144.99549,Northern Metropolitan,14949.0,0,2017,10,False,False,10080.645161290322,0.0161290322580645,15.0,2,False,1140666.4594043496,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,0.9950248756218908,10-20 anos,CBD
Coburg,3/31 Bruce St,3,t,768787.2916666667,PI,Ray,2017-11-25,6.7,3058.0,2.0,2.0,177.0,105.384,1970.0,Darebin City Council,-37.7414,144.9838,Northern Metropolitan,11204.0,2,2017,11,False,False,7295.104490877807,0.0284673195171942,55.0,2,True,878914.6571465646,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,Próximo
Skye,10 Rocklea Cr,3,h,520000.0,SP,Harcourts,2017-12-09,34.7,3977.0,1.0,1.0,485.0,96.0,1975.0,Frankston City Council,-38.09331,145.20223,South-Eastern Metropolitan,2756.0,0,2017,12,False,False,5416.666666666667,0.03125,50.0,4,False,675374.7492356038,6697.309990528885,9145.331295210466,-2448.0213046815816,15842.641285739352,False,False,2.9702970297029703,20-50 anos,Afastado
Bentleigh East,1/932 Centre Rd,4,t,1374397.6513047137,SS,Ray,2016-11-12,13.9,3165.0,2.0,2.0,317.0,193.6388647907648,1960.0,Glen Eira City Council,-37.85852,145.0387,Southern Metropolitan,10969.0,2,2016,11,False,False,7097.736566416097,0.0206570101736661,65.0,5,True,1302804.8495831916,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.9900497512437811,50-100 anos,Médio
Mill Park,79 Veronica Cr,3,h,752000.0,S,Love,2017-05-27,17.9,3082.0,2.0,2.0,497.0,98.33166666666668,1970.0,Whittlesea City Council,-37.7414,144.9838,Northern Metropolitan,10529.0,0,2017,5,False,False,7647.587247241478,0.030508991677825,55.0,2,False,618679.0356641161,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,Distante
Blackburn South,2A Stewart Av,3,h,874000.0,S,Fletchers,2017-07-22,13.4,3130.0,2.0,1.0,232.0,103.0,2014.0,Whitehorse City Council,-37.83574,145.14866,Eastern Metropolitan,4387.0,0,2017,7,False,False,8485.436893203883,0.029126213592233,11.0,0,False,899704.1999234556,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.492537313432836,10-20 anos,Médio
Mount Waverley,85 Waimarie Dr,4,h,1728000.0,S,Jellis,2017-06-17,14.2,3149.0,3.0,2.0,720.0,249.0,1960.0,Monash City Council,-37.87833,145.13731,Eastern Metropolitan,13366.0,0,2017,6,False,False,6939.759036144578,0.0160642570281124,65.0,0,False,1722127.08542038,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.32890365448505,50-100 anos,Médio
Melbourne,39/562 Little Bourke St,1,u,470000.0,PI,Kay,2017-10-14,0.0,3000.0,1.0,1.0,0.0,36.62033650793651,1970.0,Melbourne City Council,-37.7414,144.9838,Northern Metropolitan,17496.0,1,2017,10,False,False,12834.398719906349,0.0273072313189496,55.0,2,False,438373.5036846518,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,0.99009900990099,50-100 anos,
St Kilda,5/12 St Leonards Av,2,u,730000.0,VB,Wilson,2017-02-11,6.1,3182.0,1.0,1.0,0.0,63.690269841269846,1960.0,Port Phillip City Council,-37.85852,145.0387,Southern Metropolitan,13240.0,1,2017,2,False,False,11461.719377533183,0.0314019708973511,65.0,5,False,615794.2719698413,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,Próximo
Melbourne,1205/480 St Kilda Rd,3,u,860000.0,PI,Marshall,2016-05-07,2.8,3000.0,2.0,1.0,183.5,121.1,1970.0,Melbourne City Council,-37.7414,144.9838,Northern Metropolitan,17496.0,1,2016,5,False,False,7101.568951279935,0.0247729149463253,55.0,2,False,1125750.4709840412,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,CBD
